address	module	manifest_name	checker_verdict	generated_owner	generated_method	manifest_return	generated_return	expected_explicit_parameters	generated_explicit_parameters	duplicate_addresses	status	issues
00a65e50	CMemoryAllocatorFixedSize	CMemoryAllocatorFixedSize::GetNoAllocatedAreas	PASS	CMemoryAllocatorFixedSize	GetNoAllocatedAreas	ulong	unsigned long	0	0		PASS	
00a65ff0	CMemoryAllocatorFixedSize	CMemoryAllocatorFixedSize::CMemoryAllocatorFixedSize	PASS	MemoryAllocatorFixedSize	CMemoryAllocatorFixedSize	void	C	6	6		REVIEW	owner-mismatch
00a66550	CMemoryAllocatorFixedSize	CMemoryAllocatorFixedSize::GetFragmentation	PASS	CMemoryAllocatorFixedSize	GetFragmentation	float	float	0	0		PASS	
00a76f30	CNavQuadTree	IsAreaBlockedByLines	PASS	CNavQuadTree	IsAreaBlockedByLines	bool	bool	2	2		PASS	
00a77480	CNavQuadTree	JoinNavigationLayers	PASS	CNavQuadTree	JoinNavigationLayers	void	void	0	0		PASS	
00a77500	CNavQuadTree	VerifyTransitionPoints	PASS	CNavQuadTree	VerifyTransitionPoints	void	void	0	0		PASS	
00a781a0	CNavQuadTree	UpdateLines	PASS	CNavQuadTree	UpdateLines	void	void	3	3		PASS	
00a793d0	CNavQuadTree	ConnectVerticalMapEdge	PASS	CNavQuadTree	ConnectVerticalMapEdge	void	void __thiscall	3	3	00a793d0;00a79680	REVIEW	duplicate-linkage-signature
00a79680	CNavQuadTree	ConnectVerticalMapEdge	PASS	CNavQuadTree	ConnectVerticalMapEdge	void	void __thiscall	3	3	00a793d0;00a79680	REVIEW	duplicate-linkage-signature
00a79b30	CNavQuadTreeNode	Initialise	PASS	CNavQuadTreeNode	Initialise	void	void	3	3		PASS	
00a7a5e0	CNavQuadTree	InitialiseLines	PASS	CNavQuadTree	InitialiseLines	void	void	2	2		PASS	
00a7a650	CNavQuadTree	LinkToNeighbouringMaps	PASS	CNavQuadTree	LinkToNeighbouringMaps	void	void	1	1		PASS	
00a7a8d0	CNavQuadTree	Initialise	PASS	CNavQuadTree	Initialise	void	void	1	1		PASS	
00ab46e0	CMouseDX	CMouseDX::GetPos	PASS	CMouseDX	GetPos	void	void	1	1		PASS	
00ab4700	CMouseDX	CMouseDX::SetPos	PASS	CMouseDX	SetPos	void	void	1	1		PASS	
00ab5390	CMouseDX	CMouseDX::SetMouseCursor	FAIL	CMouseDX	SetMouseCursor	void	void	1	1		PASS	
00ab5d00	CMouseDX	CMouseDX::CMouseDX	PASS	MouseDX	CMouseDX	void	C	2	2		REVIEW	owner-mismatch
00ab5f00	CMouseDX	CMouseDX::PeekPos	PASS	CMouseDX	PeekPos	C2DVector const &	const C2DVector&	0	0		PASS	
00ab5f10	CMouseDX	CMouseDX::SetInputOn	PASS	CMouseDX	SetInputOn	void	void	1	1		PASS	
00ab5f20	CMouseDX	CMouseDX::SetRecentringOn	PASS	CMouseDX	SetRecentringOn	void	void	1	1		PASS	
00ab5f30	CMouseDX	CMouseDX::IsRecentringOn	PASS	CMouseDX	IsRecentringOn	bool	bool	0	0		PASS	
00ab5f40	CMouseDX	CMouseDX::SetDrawCursor	PASS	CMouseDX	SetDrawCursor	void	void	1	1		PASS	
00ab5f50	CMouseDX	CMouseDX::IsDrawingCursor	PASS	CMouseDX	IsDrawingCursor	bool	bool	0	0		PASS	
00ab5f60	CMouseDX	CMouseDX::SetMouseFiltering	PASS	CMouseDX	SetMouseFiltering	void	void	1	1		PASS	
00ab5f70	CMouseDX	CMouseDX::IsLMBDown	PASS	CMouseDX	IsLMBDown	bool	bool	0	0		PASS	
00ab5f80	CMouseDX	CMouseDX::IsMMBDown	PASS	CMouseDX	IsMMBDown	bool	bool	0	0		PASS	
00ab5f90	CMouseDX	CMouseDX::IsRMBDown	PASS	CMouseDX	IsRMBDown	bool	bool	0	0		PASS	
00b676a0	CEngineLandscapeRenderer	CEngineLandscapeRenderer::OnReleaseDefaultPoolResources	PASS	CEngineLandscapeRenderer	OnReleaseDefaultPoolResources	void	void	0	0		PASS	
00b687d0	CEngineLandscapeRenderer	BuildThemes	PASS	CEngineLandscapeRenderer	BuildThemes	void	void	0	0		PASS	
00b6ca10	CEngineLandscapeRenderer	CEngineLandscapeRenderer::PeekSceneFilterFlags	PASS	CEngineLandscapeRenderer	PeekSceneFilterFlags	ulong	unsigned long	0	0		PASS	
00bdc130	CEngineLandscapeMap	CEngineLandscapeMap::RelocateData	PASS	CEngineLandscapeMap	RelocateData	void	void	4	4		PASS	
00bdc180	CEngineLandscapeMap	UpdateBackgroundLOD		CEngineLandscapeMap	UpdateBackgroundLOD	LS_LOADING_STATUS	LS_LOADING_STATUS	3	3		PASS	
00bdc510	CEngineLandscapeMap	UpdateForeground	FAIL	CEngineLandscapeMap	UpdateForeground	LS_LOADING_STATUS	LS_LOADING_STATUS	0	0		PASS	
00bdd0e0	CEngineLandscapeMap	OpenStaticMap	PASS	CEngineLandscapeMap	OpenStaticMap	void	void	2	2		PASS	
00bdf010	CLocalDetailCacheMap	OpenStaticMap	PASS	CLocalDetailCacheMap	OpenStaticMap	void	void	2	2		PASS	
00be6f70	CLandscapeBackgroundPatch	Render	PASS	CLandscapeBackgroundPatch	Render	bool	bool __thiscall	1	1		PASS	
00be7d70	CLandscapeBackgroundPatch	Load	FAIL	CLandscapeBackgroundPatch	Load	bool	bool	3	3		PASS	
00be8920	CLandscapeBackgroundPatch	LoadCompressed	PASS	CLandscapeBackgroundPatch	LoadCompressed	bool	bool	3	3		PASS	
00beaaa0	CEngineScreenEffectOutlineGlow	CEngineScreenEffectOutlineGlow::~CEngineScreenEffectOutlineGlow	PASS	CEngineScreenEffectOutlineGlow	FinishWithDynamicTextures	void	void	0	0		REVIEW	method-name-mismatch
00beb4d0	CEngineScreenEffectOutlineGlow	CEngineScreenEffectOutlineGlow::ScalarDeletingDestructor	PASS	CEngineScreenEffectOutlineGlow	FinishWithDynamicTextures	CEngineScreenEffectOutlineGlow *	void	1	1		REVIEW	method-name-mismatch;return-shape-mismatch
00bebed0	CEnginePrimitiveManagerMeshBase	CEnginePrimitiveManagerMeshBase::GetComposedTexture	PASS	CEnginePrimitiveManagerMeshBase	GetComposedTexture	CTexture *	const CTexture* __fastcall	5	5		PASS	
00bec000	CEnginePrimitiveManagerMeshBase	CEnginePrimitiveManagerMeshBase::PreloadDiffuseTexture	PASS	CEnginePrimitiveManagerMeshBase	PreloadDiffuseTexture	void	void __fastcall	5	5		PASS	
00bec470	CEnginePrimitiveManagerMeshBase	CEnginePrimitiveManagerMeshBase::PreloadBumpTexture	PASS	CEnginePrimitiveManagerMeshBase	PreloadBumpTexture	void	void __fastcall	5	5		PASS	
00bec950	CEnginePrimitiveManagerMeshBase	CEnginePrimitiveManagerMeshBase::GetOverlaidTextures	PASS	CEnginePrimitiveManagerMeshBase	GetOverlaidTextures	bool	bool __fastcall	4	4		PASS	
00bf3840	CEngineLandscapePatch	CEngineLandscapePatch::CanRelocateData	PASS	CEngineLandscapePatch	CanRelocateData	bool	bool	1	1		PASS	
00bf3980	CEngineLandscapePatch	CEngineLandscapePatch::RelocateData	PASS	CEngineLandscapePatch	RelocateData	void	void	4	4		PASS	
00bf3a90	CEngineLandscapePatch	LoadHeader	PASS	CEngineLandscapePatch	LoadHeader	void	void	1	1		PASS	
00bf3b60	CEngineLandscapePatch	LoadForegroundPatch	FAIL	CEngineLandscapePatch	LoadForegroundPatch	LS_LOADING_STATUS	LS_LOADING_STATUS __thiscall	1	2		REVIEW	explicit-parameter-count-mismatch
00bf4130	CEngineLandscapePatch	LoadTextures	PASS	CEngineLandscapePatch	LoadTextures	bool	bool __thiscall	1	1		PASS	
00bf4220	CEngineLandscapePatch	UpdateForeground	FAIL	CEngineLandscapePatch	UpdateForeground	LS_LOADING_STATUS	LS_LOADING_STATUS __thiscall	1	2		REVIEW	explicit-parameter-count-mismatch
00bf4570	CEngineLandscapePatch	RenderForeground	FAIL	CEngineLandscapePatch	RenderForeground	void	void	0	0		PASS	
00bf5c20	CEngineLandscapeRenderer	CEngineLandscapeRenderer::GetForegroundVertexShader	PASS	CEngineLandscapeRenderer	GetForegroundSpotLightVertexShader	CVertexShader &	CVertexShader&	1	1		REVIEW	method-name-mismatch
00bf5c60	CEngineLandscapeRenderer	CEngineLandscapeRenderer::GetForegroundSpotLightVertexShader	PASS	CEngineLandscapeRenderer	GetForegroundSpotLightVertexShader	CVertexShader &	class CVertexShader& __thiscall	1	1		PASS	
00bf5ca0	CEngineLandscapeRenderer	CEngineLandscapeRenderer::GetForegroundShadowedVertexShader	PASS	CEngineLandscapeRenderer	GetForegroundBumpShadowedVertexShader	CVertexShader &	CVertexShader* __thiscall	1	1		REVIEW	method-name-mismatch;return-shape-mismatch
00bf5cd0	CEngineLandscapeRenderer	CEngineLandscapeRenderer::GetForegroundBumpShadowedVertexShader	PASS	CEngineLandscapeRenderer	GetForegroundBumpShadowedVertexShader	CVertexShader &	class CVertexShader& __thiscall	1	1		PASS	
00bf5d00	CEngineLandscapeRenderer	CEngineLandscapeRenderer::GetForegroundSpotShadowedVertexShader	PASS	CEngineLandscapeRenderer	GetForegroundBumpShadowedVertexShader	CVertexShader &	CVertexShader& __thiscall	1	1		REVIEW	method-name-mismatch
00bf6720	CLandscapeBackgroundTreeNode	UpdateTesselation	PASS	CLandscapeBackgroundTreeNode	UpdateTesselation	void	void	0	0		PASS	
00bf7400	CLandscapeBackgroundTreeNode	LoadHeader	PASS	CLandscapeBackgroundTreeNode	LoadHeader	void	void	1	1		PASS	
00bf8810	CLandscapeBackgroundTreeNode	UpdateStaticLOD	PASS	CLandscapeBackgroundTreeNode	UpdateStaticLOD	LS_LOADING_STATUS	LS_LOADING_STATUS	3	3		PASS	
00bfd420	CLandscapeLayerMesh	CLandscapeLayerMesh	PASS	LandscapeLayerMesh	CLandscapeLayerMesh	undefined	C	1	1	00bfd420;00bfddd0;00c3b900	REVIEW	owner-mismatch;duplicate-linkage-signature
00bfddd0	CLandscapeLayerMesh	CLandscapeLayerMesh	PASS	LandscapeLayerMesh	CLandscapeLayerMesh	undefined	C	1	1	00bfd420;00bfddd0;00c3b900	REVIEW	owner-mismatch;duplicate-linkage-signature
00bfe050	CLandscapeLayerMesh	LoadForeground	PASS	CLandscapeLayerMesh	LoadForeground	bool	bool	2	2		PASS	
00c19f90	_global	Getter_Field84	PASS	_global	Getter_Field84	undefined	std::uint32_t __fastcall	0	1		REVIEW	explicit-parameter-count-mismatch
00c20ef0	_global	IsStateStreaming_2to4	PASS	_global	IsStateStreaming_2to4	undefined	std::uint32_t __thiscall	0	1		REVIEW	explicit-parameter-count-mismatch
00c2d7b0	_global	CTCInventory_CheckSlotTypeNegative	PASS	_global	CTCInventory_CheckSlotTypeNegative	undefined	std::int32_t __fastcall	0	1		REVIEW	explicit-parameter-count-mismatch
00c336f0	_global	Constraint_NotifyGlobalManager	PASS	_global	Constraint_NotifyGlobalManager	undefined	void __cdecl	0	1		REVIEW	explicit-parameter-count-mismatch
00c362f0	_global	CSBAgents_BuildAndDispatch_A	PASS	_global	CSBAgents_BuildAndDispatch_A	undefined	void __fastcall	0	1		REVIEW	explicit-parameter-count-mismatch
00c36e00	_global	CSBAgents_BuildAndDispatch_SummonerLightning	PASS	_global	CSBAgents_BuildAndDispatch_SummonerLightning	undefined	void __fastcall	0	2		REVIEW	explicit-parameter-count-mismatch
00c36fb0	_global	CSBAgents_BuildAndDispatch_TavernGame	PASS	_global	CSBAgents_BuildAndDispatch_TavernGame_Impl	undefined	static void __fastcall	0	3		REVIEW	method-name-mismatch;explicit-parameter-count-mismatch
00c37000	_global	IntelligentPointer_BuildAndDispatchFloat	PASS	_global	IntelligentPointer_BuildAndDispatchFloat	undefined	float __fastcall	0	1		REVIEW	explicit-parameter-count-mismatch
00c3b900	CLandscapeLayerMesh	CLandscapeLayerMesh	PASS			undefined		1	-1	00bfd420;00bfddd0;00c3b900	REVIEW	definition-not-parsed;duplicate-linkage-signature
00c43de0	_global	DrawAutoPickups_SelectAndDrawPrimitive	PASS	_global	DrawAutoPickups_SelectAndDrawPrimitive	undefined	void __fastcall	0	1		REVIEW	explicit-parameter-count-mismatch
00c43f80	_global	Weapon_ProcessAnimFrameIfReady	PASS	_global	Weapon_ProcessAnimFrameIfReady	undefined	std::uint32_t __thiscall	0	4		REVIEW	explicit-parameter-count-mismatch
00caf580	CEngineLandscapePatch	CEngineLandscapePatch::Destructor	PASS			undefined		0	-1		REVIEW	definition-not-parsed
00caf680	CEngineLandscapePatch	CEngineLandscapePatch::AllocateTask	PASS	CEngineLandscapePatch	AllocateTask	undefined	std::uint32_t __thiscall	0	11		REVIEW	explicit-parameter-count-mismatch
